provider,category,uuid,dimension_a,dimension_b,price,weight,material,finishing,palette,main_color,main_color_frequency,img_info_percentage
catna,azulejo portugues,85c15988-e333-401d-af85-69a27e7c71df,26.23,20.8,27.3,0.11,stone,gloss,"[array([25.  , 35.  , 67.  ,  0.18]), array([ 55.  ,  68.  , 105.  ,   0.23]), array([ 91.  , 103.  , 133.  ,   0.21]), array([133. , 142. , 158. ,   0.2]), array([1.82e+02, 1.81e+02, 1.69e+02, 1.80e-01])]",[ 55.  68. 105.],0.23,0.998
catna,azulejo portugues,7c827e31-6bf7-46c2-b74a-cd0e6aebf01f,23.17,20.78,13.07,0.99,terracotta,matt,"[array([ 21.  ,  63.  , 131.  ,   0.17]), array([7.80e+01, 1.13e+02, 1.62e+02, 1.40e-01]), array([140.  , 163.  , 193.  ,   0.22]), array([184.  , 201.  , 220.  ,   0.26]), array([2.34e+02, 2.41e+02, 2.45e+02, 2.10e-01])]",[184. 201. 220.],0.26,0.996
catna,azulejo portugues,1d5305ff-1279-49c0-912f-ef01a5fb96f1,33.25,33.91,36.45,0.34,limestone,matt,"[array([23. , 19. , 86. ,  0.2]), array([ 66.  ,  72.  , 122.  ,   0.21]), array([117.  , 122.  , 152.  ,   0.17]), array([170.  , 170.  , 181.  ,   0.24]), array([2.18e+02, 2.17e+02, 2.19e+02, 1.80e-01])]",[170. 170. 181.],0.24,0.998
catna,azulejo portugues,0f921b61-e9a6-4cfa-8ac2-ed89a7e9f3fd,27.33,18.32,53.8,1.01,quartz,matt,"[array([5.1e+01, 5.0e+01, 6.9e+01, 4.0e-02]), array([ 93.  , 110.  , 152.  ,   0.19]), array([143.  , 151.  , 176.  ,   0.26]), array([181.  , 188.  , 206.  ,   0.25]), array([224.  , 229.  , 235.  ,   0.27])]",[224. 229. 235.],0.27,0.997
catna,azulejo portugues,290e23fb-b9c2-43e4-9886-e2913132979c,26.63,13.95,27.72,1.05,limestone,gloss,"[array([66.  , 57.  , 63.  ,  0.16]), array([ 89.  , 100.  , 142.  ,   0.17]), array([1.78e+02, 1.26e+02, 8.20e+01, 1.50e-01]), array([190.  , 183.  , 171.  ,   0.21]), array([242.  , 237.  , 224.  ,   0.31])]",[242. 237. 224.],0.31,0.998
catna,azulejo portugues,f3e9c0af-fbf6-4d2d-8063-64b6489f1474,16.86,19.24,33.97,1.59,wood,matt,"[array([39.  , 36.  , 49.  ,  0.31]), array([ 84.  ,  89.  , 105.  ,   0.21]), array([115.  ,  99.  ,  48.  ,   0.16]), array([135.  , 146.  , 159.  ,   0.22]), array([1.93e+02, 2.00e+02, 2.12e+02, 1.00e-01])]",[39. 36. 49.],0.31,0.998
catna,azulejo portugues,b715b159-2664-4ee0-86bd-5870d505e8c6,19.3,13.31,26.21,1.22,quartz,gloss,"[array([58.  , 60.  , 85.  ,  0.13]), array([108.  , 119.  , 144.  ,   0.22]), array([1.59e+02, 1.34e+02, 9.10e+01, 1.10e-01]), array([169.  , 172.  , 173.  ,   0.27]), array([223.  , 222.  , 214.  ,   0.27])]",[169. 172. 173.],0.27,0.998
catna,azulejo portugues,bbcbe0a1-076a-4438-9f31-3b4cb8039783,19.36,30.09,32.6,0.26,marble,matt,"[array([62.  , 31.  , 42.  ,  0.17]), array([ 33.  ,  90.  , 125.  ,   0.26]), array([2.07e+02, 1.56e+02, 3.30e+01, 1.80e-01]), array([1.53e+02, 1.64e+02, 1.73e+02, 1.30e-01]), array([238.  , 237.  , 229.  ,   0.25])]",[ 33.  90. 125.],0.26,0.997
catna,azulejo portugues,9455de6a-4d88-4fd9-82a0-fa9f1e86f2ab,26.8,32.18,22.98,1.06,porcelain,matt,"[array([ 28.  ,  75.  , 101.  ,   0.22]), array([132.  , 109.  ,  59.  ,   0.14]), array([126.  , 155.  , 173.  ,   0.18]), array([2.01e+02, 1.78e+02, 9.30e+01, 2.00e-01]), array([212.  , 222.  , 217.  ,   0.26])]",[212. 222. 217.],0.26,0.998
catna,azulejo portugues,f0c7dcea-ce78-4a47-a27a-b893bf36e1ea,29.41,18.2,41.71,0.68,stone,gloss,"[array([23.  , 28.  , 76.  ,  0.31]), array([76.  , 73.  , 90.  ,  0.09]), array([1.29e+02, 1.24e+02, 1.30e+02, 8.00e-02]), array([176.  , 175.  , 179.  ,   0.19]), array([227.  , 221.  , 213.  ,   0.34])]",[227. 221. 213.],0.34,0.998
catna,azulejo portugues,c814749a-af5e-46e6-9a21-cf73e40f2242,14.37,27.34,29.76,0.43,limestone,matt,"[array([70.  , 65.  , 73.  ,  0.15]), array([103. , 119. , 141. ,   0.2]), array([165.  , 137.  , 101.  ,   0.17]), array([169.  , 171.  , 174.  ,   0.26]), array([215.  , 216.  , 215.  ,   0.22])]",[169. 171. 174.],0.26,0.998
catna,azulejo portugues,e825533d-1d8f-4e6d-9bcf-235d9f778c0c,17.04,30.24,21.97,0.83,ceramic,gloss,"[array([ 35.  ,  40.  , 100.  ,   0.19]), array([ 95.  ,  99.  , 142.  ,   0.19]), array([2.21e+02, 1.57e+02, 4.00e+01, 1.00e-01]), array([1.68e+02, 1.67e+02, 1.81e+02, 1.60e-01]), array([232.  , 229.  , 224.  ,   0.36])]",[232. 229. 224.],0.36,0.998
catna,azulejo portugues,07cd2164-9306-4caa-b828-b5bbca628980,21.35,12.16,42.15,0.65,porcelain,matt,"[array([24.  , 45.  , 61.  ,  0.14]), array([ 62.  ,  87.  , 105.  ,   0.25]), array([102.  , 124.  , 140.  ,   0.24]), array([148.  , 164.  , 175.  ,   0.21]), array([2.00e+02, 2.07e+02, 2.11e+02, 1.60e-01])]",[ 62.  87. 105.],0.25,0.997
catna,azulejo portugues,8b8a8cc2-62dd-4094-be9d-752ce0fc1ed7,21.35,13.18,37.64,0.52,granite,gloss,"[array([ 21.  ,  44.  , 107.  ,   0.16]), array([ 63.  ,  92.  , 151.  ,   0.16]), array([128. , 143. , 173. ,   0.2]), array([176.  , 188.  , 209.  ,   0.22]), array([223.  , 230.  , 240.  ,   0.25])]",[223. 230. 240.],0.25,0.998
catna,azulejo portugues,374ea4f6-22f6-4b43-9a66-e64ced2e551d,21.87,31.99,28.12,0.74,stone,matt,"[array([90.  , 57.  , 41.  ,  0.13]), array([1.76e+02, 5.80e+01, 6.00e+01, 1.60e-01]), array([4.00e+01, 1.39e+02, 1.63e+02, 1.10e-01]), array([210.  , 130.  ,  76.  ,   0.21]), array([223.  , 209.  , 161.  ,   0.39])]",[223. 209. 161.],0.39,0.998
catna,azulejo portugues,8a43d8d4-4d97-44e8-9c71-9e8470f5165b,27.45,20.9,36.36,0.53,wood,matt,"[array([ 67.  ,  83.  , 138.  ,   0.18]), array([ 95.  , 121.  , 174.  ,   0.22]), array([132.  , 156.  , 193.  ,   0.21]), array([1.78e+02, 1.91e+02, 2.06e+02, 1.90e-01]), array([2.24e+02, 2.26e+02, 2.28e+02, 2.00e-01])]",[ 95. 121. 174.],0.22,0.998
catna,azulejo portugues,ce539fe7-177d-4985-b0cf-adf260aaa31e,18.67,11.74,46.74,0.22,ceramic,gloss,"[array([73.  , 53.  , 47.  ,  0.08]), array([118.  ,  95.  ,  70.  ,   0.16]), array([154.  , 132.  , 111.  ,   0.28]), array([186.  , 179.  , 171.  ,   0.21]), array([226.  , 217.  , 211.  ,   0.27])]",[154. 132. 111.],0.28,0.998
catna,azulejo portugues,30eb66ff-6617-45fb-a5b8-25491a8698d8,21.74,31.49,23.88,0.87,terracotta,matt,"[array([4.4e+01, 4.4e+01, 5.1e+01, 5.0e-02]), array([ 96.  ,  97.  , 105.  ,   0.17]), array([137. , 140. , 146. ,   0.3]), array([177.  , 182.  , 190.  ,   0.29]), array([2.21e+02, 2.28e+02, 2.34e+02, 1.90e-01])]",[137. 140. 146.],0.3,0.998
catna,azulejo portugues,005e8961-26ad-4fae-b5a4-6c32462e5abc,36.73,18.39,20.44,0.58,porcelain,matt,"[array([54.  , 62.  , 87.  ,  0.11]), array([ 91. ,  97. , 117. ,   0.2]), array([123.  , 128.  , 139.  ,   0.25]), array([154.  , 156.  , 160.  ,   0.26]), array([1.90e+02, 1.87e+02, 1.80e+02, 1.70e-01])]",[154. 156. 160.],0.26,0.998
